enrollment,graderange,gsrating,lat,lon,parentrating,school_name,school_type
677.3333333333334,['K-6' '9-12' '1-12' '7-8' 'PK-6' 'K-8' 'K-12'],1.8888888888888888,34.540126266666675,-117.41664986666666,3.6666666666666665,"['Adelanto Elementary School' 'Adelanto High School'
 'Carpe Diem Learning Academy' 'Columbia Middle School'
 'Desert Trails Elementary School' 'Desert Trails Preparatory Academy'
 'Donald F. Bradach Elementary School' 'Eagle Ranch School'
 'Eileen Hyder Academy'
 'George Visual and Performing Arts Magnet and Middle School'
 'Poiema Christian School' 'Taylion High Desert Academy'
 'Theodore Vick Elementary School' 'Victoria Magathan Elementary School'
 'Westside Park Elementary School']",['public' 'private' 'charter']
155.25,['K' 'K-8' 'PK-5' 'K-1' 'K-5'],8.0,34.1458216,-118.74679920000001,4.6,"['Born Learners School' 'Conejo Jewish Day School' 'Ilan Ramon Day School'
 'Montessori School Of Agoura' 'Yerba Buena Elementary School']",['private' 'public']
424.6296296296296,"['K-8' '6-12' '9-12' 'K-5' 'K-12' 'K-3' '1-12' 'K-6' '6-8' 'K-2' 'PK-5'
 'PK-8']",7.333333333333333,37.76517656756757,-122.2605751081081,4.297297297297297,"['Alameda Christian School' 'Alameda Community Learning Center'
 'Alameda High School' 'Alameda Science And Technology Institute'
 'Amelia Earhart Elementary School' 'Applied Scholastics Academy, East Bay'
 'Bay Farm' 'Central Christian School' ""Children's Learning Center""
 'Chinese American Schools - Alameda' 'Chinese Christian Schools - Alameda'
 'Da Vinci Center For Gifted Children' 'Donald D. Lum Elementary School'
 'East Bay Regional Occupation Center/Agency (Roc/P)'
 'Edison Elementary School' 'Encinal Junior Jets'
 'Encinal Junior/Senior High' 'Frank Otis Elementary School'
 'Franklin Elementary School' 'Henry Haight Elementary School'
 'Island High (Continuation) School' 'Lincoln Middle School'
 'Maya Lin School' 'Nea Community Learning Center School'
 'Peter Pan Academy' 'Rising Star Montessori School'
 'Ruby Bridges Elementary School' 'Saint Joseph Notre Dame High School'
 'St. Joseph Elementary School' 'St. Philip Neri Elementary School'
 'The Academy Of Alameda' 'The Academy Of Alameda Elementary'
 'The Child Unique Montessori School' 'Will C. Wood Middle School'
 'William G. Paden Elementary School']",['private' 'charter' 'public']
568.0,['9-12' '6-8' 'K-5' '10-12' '6-12 & ungraded'],9.6,37.892063285714286,-122.29569642857143,4.0,"['Albany High School' 'Albany Middle School' 'Cornell Elementary School'
 'Macgregor High (Continuation) School' 'Marin Elementary School'
 'Ocean View Elementary School' 'Tilden Preparatory School']",['public' 'private']
574.0869565217391,['9-12' 'PK-4' 'PK-5' 'K-8' 'K-12' 'K' 'PK-6'],7.2727272727272725,34.088874833333335,-118.13486829166668,3.8333333333333335,"['Alhambra High School' 'All Souls Elementary School'
 'Bell Tower Trilingual School' 'Century High School'
 'Emery Park Elementary School' 'Emmaus Lutheran'
 'First Presbyterian School' 'Fremont Elementary School'
 'Garfield Elementary School' 'Granada Elementary School'
 'Independence High (Alternative) School' 'Leeway School'
 ""Lily's Garden Preschool And Kindergarten"" 'Marguerita Elementary School'
 'Mark Keppel High School' 'Martha Baldwin Elementary School'
 'Oneonta Montessori School' 'Park Elementary School'
 'Ramona Convent Secondary School' 'Ramona Elementary School'
 'Saint Therese Carmelite School'
 'St. Thomas More Catholic Elementary School'
 'William Northrup Elementary School']",['public' 'private']
760.0,['K-1' '9-12' 'K-8' '6-8' 'K-5' '1-12' 'K-6' '3-12' 'PK-8' '6-12' 'PK-5'],7.875,33.57066675000001,-117.72527356249998,4.0,"['Academy On The Hills' 'Aliso Niguel High School' 'Aliso Viejo Christian'
 'Aliso Viejo Middle School' 'Canyon Vista Elementary School'
 'Crosswalk Academy' 'Don Juan Avila Elementary School'
 'Don Juan Avila Middle School' 'Farm School' 'Journey School'
 'Oak Grove Elementary School' 'Ocean View School' ""St. Mary's School""
 'The Discovery Preparatory School' 'Vandamme Academy'
 'Wood Canyon Elementary School']",['private' 'public' 'charter']
120.0,['K-6' 'K-5' '1-8' '6-10' 'K-12' '9-12' 'PK-12' '6-8'],3.0,41.4882924,-120.54653400000002,3.7,"['Alturas Community Day School' 'Alturas Elementary School'
 'Alturas Mennonite School' 'High Desert Community Day School'
 'Modoc County Community - Alturas School' 'Modoc County Rop School'
 'Modoc County Special Education School' 'Modoc High School'
 'Modoc Middle School' 'Warner High School']",['public' 'private']
511.77777777777777,['9-12' '6-8' 'K-12' 'K-5' 'PK-5' 'PK-6'],6.0,38.1733242,-122.25473840000002,4.1,"['American Canyon High School' 'American Canyon Middle School'
 'Archways Community Day School' 'Calvary Baptist Christian Academy'
 'Canyon Oaks Elementary School' 'Donaldson Way Elementary School'
 'Legacy High' 'Napa Junction Elementary School' 'Napa Valley Montessori']",['public' 'private']
722.2282608695652,"['1-12' 'K-8' 'K-6' 'K-5' '7-12' '6-12' '9-12' 'PK-5' '7-8' 'K' 'PK-8'
 'K-12' 'PK-1' 'PK-6' 'K-1' 'K-3' 'PK-3']",4.693548387096774,33.83402861788619,-117.9101514390244,3.959349593495935,"['Acaciawood School, Inc.' 'Adventure Schooling' 'Al-Ansar Academy'
 'Albert Schweitzer Elementary School' 'Amaanah Montessori School'
 'Anaheim Discovery Christian Jr./Sr. High School'
 'Anaheim Discovery Christian Junior' 'Anaheim High School'
 'Anaheim Hills Elementary School' 'Anaheim Hills Montessori School'
 'Anaheim Magnolia Christian School' 'Apple Tree Preschool'
 'Baden-Powell Elementary School' 'Ball Junior High School'
 'Barton (Clara) Elementary School' 'Berean Christian Academy'
 'Brookhurst Junior High School'
 'Calvary Baptist Church Preschool and Kindergarten'
 'Calvary Chapel Anaheim School' 'Canyon High School' 'Canyon Hills School'
 'Canyon Rim Elementary School' 'Centralia Elementary School'
 'Cerritos Elementary School' 'Chez Grand Mere Preschool'
 ""Chez Grand' Mere Preschool""
 'Community Day/Alternative Education/Special Education School'
 'Community School of Central Orange County' 'Cornelia Connelly School'
 'Crescent Elementary School' 'Cypress Branch Christian School'
 'Dale Junior High School' 'Danbrook Elementary School'
 'Edison (Thomas) Elementary School' 'El Rancho Charter School'
 'Esperanza High School' 'Esther L. Walter Elementary School'
 'Fairmont Preparatory Academy'
 'Fairmont Private Historic Anaheim Preschool School'
 'Fairmont Private Schools - Historic Anaheim Campus'
 'Faith Christian Academy Of The Cma'
 'Franklin (Benjamin) Elementary School' 'Frontiers Academy'
 'Gauer (Melbourne A.) Elementary School'
 'Gilbert High (Continuation) School' 'Glenview Elementary School'
 'Goals Academy' 'Grace OC Academy' 'Growing In Wisdom Christian School'
 'Guinn (James M.) Elementary School' 'Hansen Elementary School'
 'Happy Day Education Center' 'Henry (Patrick) Elementary School'
 'Hephatha Lutheran School' 'Hillsborough Private School'
 'Imperial Elementary School' 'Independence Christian School'
 'Integrity Christian School' 'Jefferson (Thomas) Elementary School'
 'Jonas E. Salk Elementary School' 'Juarez (Benito) Elementary School'
 'Juliette Low Elementary School' 'Katella High School' 'Keystone Academy'
 'Kindred Christian Academy' 'Leading Edge Christian Preschool'
 'Lincoln (Abraham) Elementary School' 'Loara Elementary School'
 'Loara High School' 'Madison (James) Elementary School'
 'Magnolia High School' 'Mann (Horace) Elementary School'
 'Marshall (John) Elementary School' 'Mattie Lou Maxwell Elementary School'
 'Minaret Academy' 'Montessori Education Center'
 'Montessori House of Children School' 'Montessori Learning Center'
 'Nohl Canyon Elementary School' 'North Orange County Rop School'
 'Olive Street Elementary School' 'Open Door Christian Academy'
 'Orange County Christian School' 'Orange Grove Elementary School'
 'Orangeview Junior High School' 'Palm Lane Elementary School'
 'Pelican Hills Academy' 'Peter Marshall Elementary School'
 'Polaris High (Alternative) School' 'Ponderosa Elementary School'
 'Price (Adelaide) Elementary School' 'Prince Of Peace Lutheran'
 'Revere (Paul) Elementary School' 'Rio Vista Elementary School'
 'Rock Christian Academy' 'Roosevelt (Theodore) Elementary School'
 'Ross (Betsy) Elementary School' 'Running Springs Elementary School'
 'Saints Of Glory' 'Saints Of Glory School' 'Savanna High School'
 'Serrano Heights Academy' 'Servite High School' 'South Junior High School'
 'Sovereign Grace Academy' ""St. Catherine's Academy"" 'St. Justin Martyr'
 'St. Marks Lutheran Preschool and Academy'
 'Stoddard (Alexander J.) Elementary School' 'Sunkist Elementary School'
 'Sycamore Junior High School' 'The Islamic Education School'
 'Trinity Lutheran Christian' 'Twila Reid Elementary School' 'Ubm School'
 'Vineyard Christian School' 'Walt Disney Elementary School'
 'Western High School' 'Westmont Elementary School'
 'Woodsboro Elementary School' 'Zion Lutheran Elementary School']",['private' 'public' 'charter']
266.5,['PK-6' 'K-3' 'PK-8'],,33.86186433333333,-117.76053,3.3333333333333335,"['AmeriMont Academy' 'Canyon Montessori Center'
 'Fairmont Private Schools - Anaheim Hills Campus']",['private']
