CA - All Homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,,Decreasing values (%),,,,Sold for loss (%),,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Increasing values (%),,,,Sold for gain (%),,,,Foreclosure re-sales (%),,,,Sold in past year (%),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,,Rent estimate / sq. ft. ($),,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
California,state,All Homes,"$537,300",0.5%,2.3%,9.0%,9.3%,2.3%,9.4%,--1.0%,--2.4%,0.2%,10.4%,3.5%,3.5%,1.2%,12.1%,1.3%,4.2%,1.7%,$341,0.3%,1.8%,8.3%,2.6%,--0.0%,0.0%,--0.2%,"$515,000",3.0%,4.0%,4.1%,---,---,---,---,86.0%,1.5%,3.8%,1.0%,89.6%,--3.5%,--3.5%,--1.2%,3.9%,--0.0%,--0.4%,--1.6%,4.1%,--0.7%,--0.6%,--11.5%,$306,2.4%,5.1%,4.5%,"$2,680",0.9%,2.9%,7.0%,$1.90,0.8%,2.8%,5.8%,1.144,--0.1%,0.0%,0.2%,"$2,509",0.2%,0.6%,3.4%,$1.62,0.2%,0.7%,4.1%
Adelanto,city,All Homes,"$209,000",0.9%,3.2%,14.9%,15.6%,--0.2%,2.7%,--0.4%,--0.9%,1.8%,---,---,---,---,8.3%,0.6%,2.0%,2.5%,$127,0.8%,3.3%,14.4%,2.0%,--1.6%,--1.2%,--2.4%,"$225,000",2.3%,5.9%,20.4%,"$213,100",3.2%,3.3%,17.5%,96.0%,0.2%,1.1%,--2.5%,---,---,---,---,7.3%,--1.0%,0.3%,--4.2%,6.1%,--3.0%,--4.8%,--12.3%,$129,0.1%,0.2%,14.2%,"$1,200",--0.4%,--0.4%,3.9%,$0.76,--1.0%,--1.9%,3.9%,4.674,--1.6%,2.2%,1.1%,"$1,271",0.2%,1.2%,5.8%,$0.82,0.0%,0.7%,5.6%
Agoura Hills,city,All Homes,"$873,900",0.1%,1.7%,9.0%,6.3%,2.7%,12.7%,--2.7%,--4.3%,--1.2%,---,---,---,---,17.5%,5.3%,4.5%,2.9%,$403,0.5%,2.0%,8.3%,2.1%,0.6%,--0.2%,--0.4%,"$920,000",--7.7%,--2.1%,--22.7%,"$805,800",--5.5%,3.8%,1.6%,80.4%,4.1%,5.5%,4.7%,---,---,---,---,6.4%,2.8%,3.1%,---,4.2%,0.6%,--3.6%,--5.7%,$402,--1.4%,--1.1%,4.2%,"$3,000",--3.4%,--3.4%,14.1%,$2.10,6.9%,0.9%,--1.9%,3.198,--0.5%,--0.3%,1.9%,"$3,902",0.3%,2.1%,7.2%,$1.87,--0.1%,0.6%,3.5%
Agua Dulce,city,All Homes,"$682,800",0.9%,3.4%,8.8%,8.9%,0.8%,---,---,---,---,---,---,---,---,---,---,---,---,$291,1.0%,3.9%,7.4%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Alameda,city,All Homes,"$1,004,700",0.5%,3.2%,11.4%,10.3%,5.6%,6.6%,--5.1%,--2.8%,0.4%,---,---,---,---,---,---,---,---,$632,0.6%,3.4%,12.5%,---,---,---,---,"$810,600",1.5%,--4.0%,--8.9%,---,---,---,---,90.3%,8.0%,4.5%,2.0%,---,---,---,---,3.9%,1.6%,---,---,2.9%,--2.4%,--1.2%,--9.6%,$570,2.3%,2.5%,11.2%,"$3,600",--2.7%,2.9%,1.4%,$2.35,--3.6%,--9.0%,--2.2%,---,---,---,---,"$3,459",0.2%,1.4%,2.8%,$2.23,0.0%,0.4%,1.3%
Alamo,city,All Homes,"$1,903,900",1.0%,3.0%,12.0%,9.2%,4.3%,7.3%,--2.1%,--4.3%,--9.8%,---,---,---,---,---,---,---,---,$619,1.0%,2.5%,8.6%,---,---,---,---,"$1,995,000",--4.4%,5.1%,14.0%,---,---,---,---,88.5%,3.2%,7.0%,17.8%,---,---,---,---,2.2%,--1.5%,---,--3.1%,3.6%,--0.5%,--2.4%,--18.0%,$573,--0.7%,3.0%,--0.9%,---,---,---,---,$1.96,0.5%,--4.8%,--12.8%,1.261,---,--0.1%,---,"$5,864",--1.1%,--2.8%,--2.7%,$2.06,--0.8%,--2.0%,--0.7%
Albany,city,All Homes,"$1,080,100",0.8%,3.8%,15.4%,10.5%,6.4%,3.4%,--5.0%,--9.2%,--9.9%,---,---,---,---,---,---,---,---,$844,0.6%,2.9%,13.6%,---,---,---,---,---,---,---,---,---,---,---,---,95.0%,8.5%,13.3%,14.6%,---,---,---,---,---,---,---,---,2.6%,--6.0%,--12.0%,--23.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$3,398",0.2%,0.6%,--0.4%,$2.70,--0.1%,0.2%,--2.1%
Alhambra,city,All Homes,"$658,700",0.9%,2.7%,11.1%,7.4%,3.7%,8.3%,--2.2%,--4.7%,2.0%,---,---,---,---,11.5%,10.3%,7.1%,0.9%,$453,0.9%,3.7%,10.8%,---,---,---,---,"$648,000",--1.5%,--0.8%,15.8%,"$648,000",4.4%,9.5%,12.9%,87.7%,4.3%,7.3%,--0.3%,---,---,---,---,---,---,---,---,2.3%,--1.3%,0.0%,--26.4%,$462,--2.2%,1.2%,7.1%,"$2,300",--2.1%,--2.1%,--4.2%,$1.92,4.3%,--2.1%,4.3%,0.993,0.0%,0.5%,0.4%,"$2,549",0.2%,0.8%,2.8%,$1.84,0.5%,1.4%,3.2%
Aliso Viejo,city,All Homes,"$632,200",0.5%,1.9%,6.6%,7.3%,2.6%,10.6%,--4.2%,--4.9%,5.8%,---,---,---,---,4.0%,--2.9%,--0.5%,--2.6%,$418,0.5%,2.0%,7.2%,---,---,---,---,"$599,000",2.8%,7.3%,4.2%,---,---,---,---,82.0%,6.1%,7.9%,--7.3%,---,---,---,---,2.8%,0.5%,0.8%,--1.9%,4.6%,--0.4%,--4.3%,--20.0%,$421,--0.1%,2.2%,6.9%,"$2,700",0.0%,1.9%,1.9%,$2.00,1.6%,2.5%,3.6%,---,---,---,---,"$2,928",0.4%,1.3%,3.4%,$1.98,0.1%,0.5%,3.0%
Alondra Park,city,All Homes,"$618,200",0.7%,2.6%,9.6%,8.6%,2.8%,2.8%,0.6%,0.6%,1.6%,---,---,---,---,---,---,---,---,$484,0.6%,2.3%,10.3%,---,---,---,---,---,---,---,---,---,---,---,---,95.2%,---,0.6%,--3.1%,---,---,---,---,---,---,---,---,4.1%,--1.5%,4.8%,25.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,785",0.8%,2.5%,9.2%,$2.22,0.7%,2.3%,8.6%
Alpine,city,All Homes,"$634,300",0.5%,2.4%,10.0%,8.3%,2.1%,4.5%,--0.2%,--1.8%,--11.7%,---,---,---,---,12.5%,--3.0%,--5.8%,--0.4%,$290,0.7%,2.8%,9.0%,2.4%,0.3%,--1.0%,1.0%,"$675,000",3.8%,3.8%,5.6%,"$622,900",1.9%,8.7%,18.5%,93.6%,0.3%,3.4%,21.2%,---,---,---,---,10.9%,0.6%,8.6%,2.1%,5.5%,0.0%,0.4%,8.1%,$298,--0.3%,0.5%,9.0%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,726",--0.9%,--3.1%,2.6%,$1.30,--0.8%,--2.6%,2.5%
Altadena,city,All Homes,"$830,500",0.5%,2.1%,11.1%,8.2%,3.6%,8.6%,--0.5%,--2.3%,0.4%,---,---,---,---,8.5%,0.8%,1.8%,--2.3%,$557,0.5%,2.8%,11.6%,5.9%,1.5%,2.0%,1.1%,"$799,900",0.1%,--0.0%,2.6%,"$840,000",--7.2%,--6.1%,9.8%,88.1%,0.6%,2.8%,3.7%,---,---,---,---,---,---,---,---,2.7%,--2.4%,--2.4%,--29.0%,$540,4.0%,6.3%,11.8%,---,---,---,---,---,---,---,---,---,---,---,---,"$3,098",0.9%,0.8%,5.9%,$2.07,0.5%,0.9%,5.0%
Alum Rock,city,All Homes,"$764,200",1.8%,5.7%,19.9%,16.0%,3.1%,0.2%,--0.1%,--0.3%,--0.7%,---,---,---,---,---,---,---,---,$638,1.4%,5.5%,23.2%,---,---,---,---,---,---,---,---,---,---,---,---,99.7%,0.3%,0.4%,2.9%,---,---,---,---,---,---,---,---,3.6%,--0.9%,1.9%,--15.3%,---,---,---,---,---,---,---,---,---,---,---,---,1.806,---,---,---,"$3,194",0.6%,1.2%,6.1%,$2.70,0.4%,0.7%,5.8%
American Canyon,city,All Homes,"$556,000",1.2%,3.3%,8.8%,12.9%,1.1%,5.2%,0.6%,1.7%,1.9%,---,---,---,---,---,---,---,---,$269,1.1%,3.1%,9.8%,---,---,---,---,"$522,500",0.0%,4.5%,--1.4%,---,---,---,---,88.6%,--2.2%,--3.6%,--3.5%,---,---,---,---,---,---,---,---,3.5%,--6.0%,--11.9%,--19.3%,$295,--0.7%,--1.7%,20.8%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,565",--0.4%,--2.1%,--1.3%,$1.27,--0.5%,--1.2%,0.0%
Anaheim,city,All Homes,"$589,700",0.3%,1.5%,6.6%,7.9%,2.1%,4.5%,--1.9%,--5.2%,--1.2%,---,---,---,---,11.4%,3.4%,4.5%,1.5%,$374,0.3%,1.6%,6.3%,2.5%,0.6%,0.7%,0.3%,"$599,900",1.9%,5.3%,4.9%,---,---,---,---,90.9%,4.5%,12.1%,3.8%,---,---,---,---,2.9%,--0.1%,0.6%,0.2%,3.5%,--0.3%,--0.1%,--11.7%,$372,--0.6%,0.6%,5.6%,"$2,500",0.0%,0.0%,4.2%,$1.78,--1.4%,--6.0%,3.6%,0.887,--0.0%,0.1%,0.1%,"$2,742",0.2%,0.6%,3.7%,$1.88,0.2%,0.6%,3.6%
Anderson,city,All Homes,"$216,300",0.2%,1.6%,5.8%,8.2%,0.2%,20.4%,--5.2%,0.7%,12.0%,---,---,---,---,12.4%,--4.1%,--2.0%,3.8%,$156,0.6%,1.3%,7.6%,2.3%,0.4%,0.1%,--0.6%,"$299,500",--0.0%,4.0%,15.4%,---,---,---,---,71.4%,6.5%,--0.7%,--13.7%,---,---,---,---,3.8%,--1.4%,--4.8%,--3.2%,5.1%,8.2%,7.3%,8.2%,$185,4.3%,6.1%,10.6%,---,---,---,---,---,---,---,---,2.107,--2.1%,--1.3%,--2.7%,"$1,247",0.1%,0.5%,7.1%,$0.97,0.2%,1.3%,4.3%
Antioch,city,All Homes,"$438,400",1.1%,3.1%,11.9%,14.1%,2.2%,1.8%,--0.6%,--1.5%,1.1%,---,---,---,---,4.1%,--2.3%,1.5%,1.0%,---,---,---,---,---,---,---,---,"$422,000",1.2%,5.5%,8.2%,---,---,---,---,97.2%,1.5%,3.3%,--1.7%,---,---,---,---,6.4%,0.7%,--0.1%,--2.6%,5.1%,--1.2%,0.1%,--8.5%,$246,2.3%,4.6%,14.4%,"$2,150",1.9%,2.4%,7.8%,$1.41,4.3%,--0.0%,5.5%,1.024,0.0%,0.1%,--0.2%,"$2,272",0.2%,0.9%,5.3%,$1.34,0.1%,1.1%,6.2%
