idx,s_id,city,enrollment,graderange,gsrating,lat,lon,parentrating,phone,school_name,school_type,website
0,5af7493818e4261b6296a900,Adelanto,469,K-6,1,34.576157,-117.40949,3,(760) 246-5892,Adelanto Elementary School,public,http://www.aesd.net/
1,5af7493818e4261b6296a901,Adelanto,1750,9-12,NA,34.531548,-117.441284,3,(760) 246-3909,Adelanto High School,public,http://ahs.vvuhsd.org/
2,5af7493818e4261b6296a902,Adelanto,NA,1-12,NA,34.519,-117.40623,3,(760) 530-1576,Carpe Diem Learning Academy,private,
3,5af7493818e4261b6296a903,Adelanto,391,7-8,1,34.511086,-117.4347,3,(760) 530-1950,Columbia Middle School,public,
4,5af7493818e4261b6296a904,Adelanto,512,K-6,NA,34.537495,-117.4606,2,,Desert Trails Elementary School,charter,
5,5af7493818e4261b6296a905,Adelanto,550,PK-6,NA,34.51157,-117.417274,5,(760) 530-7680,Desert Trails Preparatory Academy,charter,www.dtpacademy.com
6,5af7493818e4261b6296a906,Adelanto,763,K-8,2,34.53361,-117.41706,3,(760) 246-5016,Donald F. Bradach Elementary School,public,www.aesd.net
7,5af7493818e4261b6296a907,Adelanto,765,K-6,2,34.478245,-117.38901,4,(760) 949-2100,Eagle Ranch School,public,www.aesd.net
8,5af7493818e4261b6296a908,Adelanto,NA,K-12,NA,34.577686,-117.40572,4,(760) 246-8242,Eileen Hyder Academy,private,
9,5af7493818e4261b6296a909,Adelanto,699,K-8,5,34.575417,-117.36521,4,(760) 246-8231,George Visual and Performing Arts Magnet and Middle School,public,www.aesd.net
10,5af7493818e4261b6296a90a,Adelanto,NA,K-12,NA,34.53161,-117.41532,4,(760) 530-5527,Poiema Christian School,private,
11,5af7493818e4261b6296a90b,Adelanto,184,K-12,1,34.57972,-117.41811,5,(602) 439-5026,Taylion High Desert Academy,charter,www.taylion.com
12,5af7493818e4261b6296a90c,Adelanto,776,K-8,1,34.51347,-117.43334,4,(760) 530-1750,Theodore Vick Elementary School,public,www.aesd.net
13,5af7493818e4261b6296a90d,Adelanto,639,K-6,3,34.54301,-117.41462,4,(760) 246-8872,Victoria Magathan Elementary School,public,www.aesd.net
14,5af7493818e4261b6296a90e,Adelanto,630,K-6,1,34.58227,-117.42178,4,(760) 246-4118,Westside Park Elementary School,public,www.aesd.net
15,5af7493818e4261b6296a90f,Agoura Hills,11,K,NA,34.14096,-118.744576,5,(818) 991-7752,Born Learners School,private,http://www.bornlearnersschool.com/
16,5af7493818e4261b6296a910,Agoura Hills,NA,K-8,NA,34.14,-118.74,4,(805) 494-7217,Conejo Jewish Day School,private,
17,5af7493818e4261b6296a911,Agoura Hills,150,PK-5,NA,34.13907,-118.72199,5,(818) 707-2365,Ilan Ramon Day School,private,www.ilanramondayschool.com
18,5af7493818e4261b6296a912,Agoura Hills,46,K-1,NA,34.145485,-118.73957,4,(818) 991-8936,Montessori School Of Agoura,private,http://montessoriagoura.com/
19,5af7493818e4261b6296a913,Agoura Hills,414,K-5,8,34.163593,-118.78786,5,(818) 889-0040,Yerba Buena Elementary School,public,http://www.yerbabuenaelementary.org/
20,5af7493818e4261b6296a914,Alameda,48,K-8,NA,37.768845,-122.24388,5,(510) 523-1000,Alameda Christian School,private,http://www.alamedachristianschool.com
